occurrence_no,record_type,reid_no,flags,collection_no,permissions,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,phylum,phylum_no,class,class_no,order,order_no,family,family_no,genus,genus_no,subgenus_no,plant_organ,plant_organ2,abund_value,abund_unit,lng,lat,occurrence_comments,collection_name,collection_subset,collection_aka,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,paleolng,paleolat,geoplate,cc.1,protected,formation,stratgroup,member,stratscale,zone,localsection,localbed,localorder,regionalsection,regionalbed,regionalorder,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments,assembl_comps,articulated_parts,associated_parts,common_body_parts,rare_body_parts,feed_pred_traces,artifacts,component_comments,pres_mode,preservation_quality,spatial_resolution,temporal_resolution,lagerstatten,concentration,orientation,abund_in_sediment,sorting,fragmentation,bioerosion,encrustation,preservation_comments,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments,taxon_environment,environment_basis,motility,life_habit,vision,diet,reproduction,ontogeny,ecospace_comments,composition,architecture,thickness,reinforcement,primary_name,primary_reso,subgenus_name,subgenus_reso,species_name,species_reso,primary_reference,authorizer,enterer,modifier
146084,occ,NA,,12856,NA,n. gen. Icarosaurus n. sp. siefkeri,species,156159,,Icarosaurus siefkeri,NA,species,156159,Norian,,228,208.5,Colbert,1966,30922,Chordata,33815,Reptilia,36322,Eosuchia,37795,Kuehneosauridae,37838,Icarosaurus,37840,NA,NA,NA,1,individuals,-74.018608,40.811943,"Holotype, nearly complete skeleton",Granton Quarry,NA,"Belmont-Gurnee Quarry, North Bergen",US,New Jersey,Hudson,stated in text,seconds,outcrop,"Coordinates stated by Olsen (2005). Remnants of the old Granton Quarry are preserved between the new Lowes Home Building Center on the south and Tonnelle Plaza (Hartz Mountain Industries) on the north, North Bergen.",gp_mid,-8.55,14.34,101,US,,Lockatong,Chatham,Ewing Creek,group of beds,,,,,,,NA,"The base of the section appears to be 38-46 m above the contact with the Palisade sill. At least 7 beds are fossiliferous.\r\n""the Lockatong Formation is composed entirely of repetitive sedimentary cycles caused by the rise and fall of lakes controlled by climate changes..."".","""Division 2 is a thinly bedded, laminated to microlaminated (laminae < 1 mm) red, green or gray to black, sometimes organic-carbon-rich, siltstone, claystone, or carbonate showing few or no signs of desiccation. In its best-developed form, division 2 is black and microlaminated and contains abundant and well-preserved fossil fish, arthropods, and small reptiles""",siltstone,"planar lamination,black,gray",,calcareous,Y,,,,,,lacustrine - large,rift,,macrofossils,,,,,,NA,,body,good,,,,,,common,,,,,,taxonomic,"selective quarrying,field collection",AMNH,some macrofossils,,,,,,,terrestrial,NA,actively mobile,volant,NA,,,,,hydroxyapatite,,,NA,Icarosaurus,n. gen.,,NA,siefkeri,n. sp.,E. H. Colbert. 1966. A gliding reptile from the Triassic of New Jersey. American Museum Novitates 2246:1-23,E. Fara,E. Fara,M. Carrano
146085,occ,NA,,12856,NA,Rutiodon carolinensis,species,64947,,Rutiodon carolinensis,NA,species,64947,Norian,,228,208.5,Colbert,1965,30923,Chordata,33815,Reptilia,36322,Eosuchia,37795,Parasuchidae,133090,Rutiodon,38299,NA,NA,NA,1,specimens,-74.018608,40.811943,"AMNH 5500, skull, partial mandible, vertebra, scutes, postcranial fragments",Granton Quarry,NA,"Belmont-Gurnee Quarry, North Bergen",US,New Jersey,Hudson,stated in text,seconds,outcrop,"Coordinates stated by Olsen (2005). Remnants of the old Granton Quarry are preserved between the new Lowes Home Building Center on the south and Tonnelle Plaza (Hartz Mountain Industries) on the north, North Bergen.",gp_mid,-8.55,14.34,101,US,,Lockatong,Chatham,Ewing Creek,group of beds,,,,,,,NA,"The base of the section appears to be 38-46 m above the contact with the Palisade sill. At least 7 beds are fossiliferous.\r\n""the Lockatong Formation is composed entirely of repetitive sedimentary cycles caused by the rise and fall of lakes controlled by climate changes..."".","""Division 2 is a thinly bedded, laminated to microlaminated (laminae < 1 mm) red, green or gray to black, sometimes organic-carbon-rich, siltstone, claystone, or carbonate showing few or no signs of desiccation. In its best-developed form, division 2 is black and microlaminated and contains abundant and well-preserved fossil fish, arthropods, and small reptiles""",siltstone,"planar lamination,black,gray",,calcareous,Y,,,,,,lacustrine - large,rift,,macrofossils,,,,,,NA,,body,good,,,,,,common,,,,,,taxonomic,"selective quarrying,field collection",AMNH,some macrofossils,,,,,,,terrestrial,NA,actively mobile,,NA,carnivore,,,,hydroxyapatite,,,NA,Rutiodon,,,NA,carolinensis,,"E. H. Colbert. 1965. A phytosaur from North Bergen, New Jersey. American Museum Novitates 2230:1-25",E. Fara,E. Fara,R. Butler
146086,occ,NA,,12857,NA,Kuehneosaurus n. sp. latissimus,species,252435,recombined as,Kuehneosuchus latissimus,NA,species,252435,Rhaetian,,208.5,201.3,Robinson,1962,43837,Chordata,33815,Reptilia,36322,Eosuchia,37795,Kuehneosauridae,37838,Kuehneosuchus,37842,NA,NA,NA,NA,,-2.775,51.291943,,Batscombe Quarry,NA,,UK,England,Somerset,stated in text,seconds,outcrop,"Batscombe Quarry, near Cheddar, Somerset. OS grid reference: ST 460 550. ",gp_mid,8.91,33.99,315,UK,,,,,bed,,,,,,,NA,"Whiteside & Marshall (2008) argued for a Rhaetian age for the Batscombe quarry based on the similarity of Kuehneosuchus to Kuehneosaurus from the Emborough quarry, which they date as Rhaetian in age. ",,not reported,,,,,,,,,,fissure fill,,,"macrofossils,mesofossils",,,,,,NA,,body,,,,,,,,,,,,,taxonomic,"selective quarrying,field collection,survey of museum collection",,,,,W. Kühne,1946,,,terrestrial,NA,actively mobile,,NA,,,,,hydroxyapatite,,,NA,Kuehneosaurus,,,NA,latissimus,n. sp.,P. L. Robinson. 1962. Gliding lizards from the upper Keuper of Great Britain. Proceedings of the Geological Society of London 1601:137-146,E. Fara,E. Fara,M. Carrano
146087,occ,NA,,12858,NA,n. gen. Kuehneosaurus n. sp. latus,species,202965,,Kuehneosaurus latus,NA,species,202965,Rhaetian,,208.5,201.3,Robinson,1962,43837,Chordata,33815,Reptilia,36322,Eosuchia,37795,Kuehneosauridae,37838,Kuehneosaurus,37841,NA,NA,NA,3,specimens,-2.543611,51.252777,"NHMUK R.8172, 6017, 5975",Emborough Quarry,NA,,UK,England,Somerset,stated in text,seconds,outcrop,"at Emborough, about 6 mi. NNE of Wells, Mendip Hills, Somerset. OS grid reference: ST 623 505 (Fraser 1994).",gp_mid,9.08,34.01,315,UK,,,,,bed,,,,,,,NA,Whiteside & Marshall (2008) argue for a Rhaetian age for this locality,"""poorly sorted, locally derived limestone boulders and coarse conglomerate and marl components""",conglomerate,,,,,marl,,,,Y,fissure fill,,"""sediment fill of a collapsed cave""",mesofossils,,,,,,NA,,body,,,,,,,,,,,,,taxonomic,"field collection,survey of museum collection",BMNH,,,,W. Kühne,1946,,,terrestrial,NA,actively mobile,,NA,,,,,hydroxyapatite,,,NA,Kuehneosaurus,n. gen.,,NA,latus,n. sp.,P. L. Robinson. 1962. Gliding lizards from the upper Keuper of Great Britain. Proceedings of the Geological Society of London 1601:137-146,E. Fara,E. Fara,M. Carrano
146660,occ,NA,,12942,NA,Malerisaurus n. sp. langstoni,species,138927,subjective synonym of,Trilophosaurus buettneri,NA,species,64922,Norian,,228,208.5,Chatterjee,1986,4290,Chordata,33815,Reptilia,36322,Eosuchia,37795,,NA,Trilophosaurus,38204,NA,NA,NA,1,specimens,-101.254799,32.175007,TMM 31099-11 (holotype); Spielmann et al. (2006) restricted holotype to cranial elements only,"Otis Chalk Quarry 2, TMM 31099 (Dockum Formation)",NA,"Small Reptile Quarry, ETE Locality 1580, NMMNH L-4208, Trilophosaurus Quarry 2",US,Texas,Howard,estimated from map,6,small collection,"SW corner of Section 58, block 29, Waco and Northeastern Railroad. Near Otis Chalk, 25 km southeast of Big Spring, Howard County, West Texas.; about 90-200 m from Quarry 1 (also listed as 100 yds ENE of Quarry 1)",gp_mid,-31,6.49,101,US,,Colorado City,Dockum,,bed,,,,,,,NA,"""continental red-bed sequence""; variously referred to the Iatan or Colorado City Members of the Dockum Group; low in Dockum Group","""dominant lithology is red mudstone intercalated with lenses of fine-grained sandstones and conglomerates.""\r\n",mudstone,red,,silty,Y,sandstone,lenticular,,conglomeratic,,crevasse splay,,"""continental red-bed sequence accumulated in a mosaic of fluvial, lacustrine, and flood plain deposits""",macrofossils,some,some,,,,NA,,body,good,,snapshot,concentrate,#NAME?,,,,,,,"numerous whole or partially articulated skeletons in 30 cm thick bone bed, in situ, juvenile/small-sized individuals dominant;ETE Abrasion: ., ETE Assemblage formation: mass_death, ETE transport: ., ETE weathering/trampling: ., ETE part concentration: ., ETE time represented: . ,ETE vert pres: ., ETE invert pres: ., ETE plant pres: .",taphonomic,"selective quarrying,chemical,mechanical,field collection,survey of museum collection","NMMNH,TMM",species names,,,,,"ETE Size: .; ETE reference list: 1003, 770, 673, 793, 786, 772, 794, 801, 769, 771, 828, 827, 842, 857, 715, 723, 668, 773, 751, 753, 754, 891, 758, 719, 714, 728, 755, 718, 800, 799, ; ETE museum list:",,terrestrial,NA,actively mobile,,NA,herbivore,,,,hydroxyapatite,,,NA,Malerisaurus,,,NA,langstoni,n. sp.,"S. Chatterjee. 1986. Malerisaurus langstoni, a new diapsid reptile from the Triassic of Texas\r\n. Journal of Vertebrate Paleontology 6(4):297-312",J. Alroy,R. Whatley,R. Butler
146661,occ,22906,,12942,NA,Trilophosaurus buettneri,species,64922,,Trilophosaurus buettneri,NA,species,64922,Norian,,228,208.5,Heckert et al.,2006,32141,Chordata,33815,Reptilia,36322,Eosuchia,37795,,NA,Trilophosaurus,38204,NA,NA,NA,140,specimens,-101.254799,32.175007,,"Otis Chalk Quarry 2, TMM 31099 (Dockum Formation)",NA,"Small Reptile Quarry, ETE Locality 1580, NMMNH L-4208, Trilophosaurus Quarry 2",US,Texas,Howard,estimated from map,6,small collection,"SW corner of Section 58, block 29, Waco and Northeastern Railroad. Near Otis Chalk, 25 km southeast of Big Spring, Howard County, West Texas.; about 90-200 m from Quarry 1 (also listed as 100 yds ENE of Quarry 1)",gp_mid,-31,6.49,101,US,,Colorado City,Dockum,,bed,,,,,,,NA,"""continental red-bed sequence""; variously referred to the Iatan or Colorado City Members of the Dockum Group; low in Dockum Group","""dominant lithology is red mudstone intercalated with lenses of fine-grained sandstones and conglomerates.""\r\n",mudstone,red,,silty,Y,sandstone,lenticular,,conglomeratic,,crevasse splay,,"""continental red-bed sequence accumulated in a mosaic of fluvial, lacustrine, and flood plain deposits""",macrofossils,some,some,,,,NA,,body,good,,snapshot,concentrate,#NAME?,,,,,,,"numerous whole or partially articulated skeletons in 30 cm thick bone bed, in situ, juvenile/small-sized individuals dominant;ETE Abrasion: ., ETE Assemblage formation: mass_death, ETE transport: ., ETE weathering/trampling: ., ETE part concentration: ., ETE time represented: . ,ETE vert pres: ., ETE invert pres: ., ETE plant pres: .",taphonomic,"selective quarrying,chemical,mechanical,field collection,survey of museum collection","NMMNH,TMM",species names,,,,,"ETE Size: .; ETE reference list: 1003, 770, 673, 793, 786, 772, 794, 801, 769, 771, 828, 827, 842, 857, 715, 723, 668, 773, 751, 753, 754, 891, 758, 719, 714, 728, 755, 718, 800, 799, ; ETE museum list:",,terrestrial,NA,actively mobile,,NA,herbivore,,,,hydroxyapatite,,,NA,Trilophosaurus,,,NA,buettneri,,"A. B. Heckert, S. G. Lucas, and L. F. Rinehart, J. A. Spielmann, A. P. Hunt, R. Kahle. 2006. Revision of the archosauromorph reptile Trilophosaurus, with a description of the first skull of Trilophosaurus jacobsi, from the Upper Triassic Chinle Group, West Texas, USA. Palaeontology 49(3):621-640",R. Butler,R. Butler,R. Butler
149237,occ,NA,,13173,NA,n. gen. Clevosaurus n. sp. hudsoni,species,247715,,Clevosaurus hudsoni,NA,species,247715,Rhaetian,,208.5,201.3,Fraser and Walkden,1983,4380,Chordata,33815,Reptilia,36322,Rhynchocephalia,54194,Clevosauridae,132133,Clevosaurus,68149,NA,NA,NA,1,specimens,-2.428333,51.623055,UMZC T 1271,Cromhall Quarry Site 1,NA,"Cromhall Quarry, Slickstones",UK,England,Gloucestershire,stated in text,seconds,small collection,"OS coordinates ST 704 916 (also listed as ST(31)705915). Cromhall QUarry, 1 mi. NE of Cronhall and 13 mi NE of Bristol.",gp_mid,8.97,34.38,315,UK,,,,,group of beds,,,,,,,NA,"Whiteside & Marshall (2008) argue for a Rhaetian age based upon the shared presence of Planocephalosaurus with deposits at Tytherington dated as Rhaetian on the basis of palynomorphs, and the presence of fish remains that are typical of the Rhaetian Penarth Group. ",red or green mudstones interbedded with thin limestones largely composed of recemented detrital crinoid debris,"""limestone""",,lithified,,Y,mudstone,"green,red or brown",,,,fissure fill,,,"macrofossils,mesofossils",,,,,,NA,,body,good,,condensed,,concentrated,,,,frequent,,,bones are often broken and they show a high degree of rounding and polishing,taxonomic,"bulk,chemical,mechanical,acetic,field collection",,,,,,,"Material in University of Aberdeen palaeontological collection\r\n\r\nBone material is extracted from well cemented sediments by placing them in acetic or formic acid baths (between 5 percent and 15 percent solution) and then thoroughly washing and sifting the residues. However, where the bone occurs in soft marls it must be removed manually using fine needles.",,terrestrial,NA,actively mobile,,NA,,,,,hydroxyapatite,,,NA,Clevosaurus,n. gen.,,NA,hudsoni,n. sp.,"N. C. Fraser and G.M. Walkden. 1983. The ecology of a Late Triassic reptile assemblage from Gloucestershire, England. Palaeogeography, Palaeoclimatology, Palaeoecology 42:341-365",E. Fara,E. Fara,M. Carrano
149239,occ,19536,,13173,NA,Diphydontosaurus sp.,genus,64134,,Diphydontosaurus,NA,genus,64134,Rhaetian,,208.5,201.3,Fraser,1994,12289,Chordata,33815,Reptilia,36322,Rhynchocephalia,54194,,NA,Diphydontosaurus,64134,NA,NA,NA,NA,,-2.428333,51.623055,,Cromhall Quarry Site 1,NA,"Cromhall Quarry, Slickstones",UK,England,Gloucestershire,stated in text,seconds,small collection,"OS coordinates ST 704 916 (also listed as ST(31)705915). Cromhall QUarry, 1 mi. NE of Cronhall and 13 mi NE of Bristol.",gp_mid,8.97,34.38,315,UK,,,,,group of beds,,,,,,,NA,"Whiteside & Marshall (2008) argue for a Rhaetian age based upon the shared presence of Planocephalosaurus with deposits at Tytherington dated as Rhaetian on the basis of palynomorphs, and the presence of fish remains that are typical of the Rhaetian Penarth Group. ",red or green mudstones interbedded with thin limestones largely composed of recemented detrital crinoid debris,"""limestone""",,lithified,,Y,mudstone,"green,red or brown",,,,fissure fill,,,"macrofossils,mesofossils",,,,,,NA,,body,good,,condensed,,concentrated,,,,frequent,,,bones are often broken and they show a high degree of rounding and polishing,taxonomic,"bulk,chemical,mechanical,acetic,field collection",,,,,,,"Material in University of Aberdeen palaeontological collection\r\n\r\nBone material is extracted from well cemented sediments by placing them in acetic or formic acid baths (between 5 percent and 15 percent solution) and then thoroughly washing and sifting the residues. However, where the bone occurs in soft marls it must be removed manually using fine needles.",,terrestrial,NA,actively mobile,,NA,,,,,hydroxyapatite,,,NA,Diphydontosaurus,,,NA,sp.,,"N. C. Fraser. 1994. Assemblages of small tetrapods from British Late Triassic fissure deposits. In the Shadow of the Dinosaurs: Early Mesozoic Tetrapods, N. C. Fraser and H.-D. Sues (eds.), Cambridge University Press ",M. Carrano,M. Carrano,
149241,occ,19538,,13174,NA,Diphydontosaurus sp.,genus,64134,,Diphydontosaurus,NA,genus,64134,Rhaetian,,208.5,201.3,Fraser,1994,12289,Chordata,33815,Reptilia,36322,Rhynchocephalia,54194,,NA,Diphydontosaurus,64134,NA,NA,NA,NA,,-2.428333,51.623055,,Cromhall Quarry Site 2,NA,"Cromhall Quarry, Slickstones",UK,England,Gloucestershire,stated in text,seconds,small collection,OS coordinates ST 704 916,gp_mid,8.97,34.38,315,UK,,,,,group of beds,,,,,,,NA,"Whiteside & Marshall (2008) argue for a Rhaetian age based upon the shared presence of Planocephalosaurus with deposits at Tytherington dated as Rhaetian on the basis of palynomorphs, and the presence of fish remains that are typical of the Rhaetian Penarth Group. ",red or green mudstones interbedded with thin limestones largely composed of recemented detrital crinoid debris,"""limestone""",,lithified,,Y,mudstone,"green,red or brown",,,,fissure fill,,,"macrofossils,mesofossils",,,,,,NA,,body,good,,condensed,,concentrated,,common,,frequent,,,,taxonomic,"bulk,chemical,mechanical,acetic,field collection",,,,,,,"Material in University of Aberdeen palaeontological collection\r\n\r\nBone material is extracted from well cemented sediments by placing them in acetic or formic acid baths (between 5 percent and 15 percent solution) and then thoroughly washing and sifting the residues. However, where the bone occurs in soft marls it must be removed manually using fine needles.",,terrestrial,NA,actively mobile,,NA,,,,,hydroxyapatite,,,NA,Diphydontosaurus,,,NA,sp.,,"N. C. Fraser. 1994. Assemblages of small tetrapods from British Late Triassic fissure deposits. In the Shadow of the Dinosaurs: Early Mesozoic Tetrapods, N. C. Fraser and H.-D. Sues (eds.), Cambridge University Press ",M. Carrano,M. Carrano,
149243,occ,19539,,13174,NA,Planocephalosaurus robinsonae,species,253695,,Planocephalosaurus robinsonae,NA,species,253695,Rhaetian,,208.5,201.3,Fraser,1994,12289,Chordata,33815,Reptilia,36322,Rhynchocephalia,54194,,NA,Planocephalosaurus,37825,NA,NA,NA,NA,,-2.428333,51.623055,,Cromhall Quarry Site 2,NA,"Cromhall Quarry, Slickstones",UK,England,Gloucestershire,stated in text,seconds,small collection,OS coordinates ST 704 916,gp_mid,8.97,34.38,315,UK,,,,,group of beds,,,,,,,NA,"Whiteside & Marshall (2008) argue for a Rhaetian age based upon the shared presence of Planocephalosaurus with deposits at Tytherington dated as Rhaetian on the basis of palynomorphs, and the presence of fish remains that are typical of the Rhaetian Penarth Group. ",red or green mudstones interbedded with thin limestones largely composed of recemented detrital crinoid debris,"""limestone""",,lithified,,Y,mudstone,"green,red or brown",,,,fissure fill,,,"macrofossils,mesofossils",,,,,,NA,,body,good,,condensed,,concentrated,,common,,frequent,,,,taxonomic,"bulk,chemical,mechanical,acetic,field collection",,,,,,,"Material in University of Aberdeen palaeontological collection\r\n\r\nBone material is extracted from well cemented sediments by placing them in acetic or formic acid baths (between 5 percent and 15 percent solution) and then thoroughly washing and sifting the residues. However, where the bone occurs in soft marls it must be removed manually using fine needles.",,terrestrial,NA,actively mobile,,NA,,,,,hydroxyapatite,,,NA,Planocephalosaurus,,,NA,robinsonae,,"N. C. Fraser. 1994. Assemblages of small tetrapods from British Late Triassic fissure deposits. In the Shadow of the Dinosaurs: Early Mesozoic Tetrapods, N. C. Fraser and H.-D. Sues (eds.), Cambridge University Press ",M. Carrano,M. Carrano,
